Undergraduates,2005,2010,2011,2012,2013,2014,2015
Arts GPA,3.2,3.2,3.19,3.19,3.23,3.2,3.28
GPA>3.5,25.60%,29.20%,29.20%,30.90%,32.40%,29.40%,38.10%
3.0<GPA<3.5,46.90%,39.60%,38.70%,37.80%,39.70%,42.20%,35.50%
2.5<GPA<3.0,21.40%,23.00%,23.50%,20.90%,19.70%,19.00%,20.60%
2.0<GPA<2.5,4.60%,7.50%,7.80%,8.40%,7.30%,7.30%,5.30%
GPA<2.0,1.50%,0.70%,0.80%,2.00%,1.00%,2.10%,0.50%
Humanities GPA,3.12,3.17,3.18,3.18,3.19,3.18,3.21
GPA>3.5,24.00%,28.70%,31.10%,32.60%,30.90%,30.90%,32.30%
3.0<GPA<3.5,40.00%,39.70%,35.50%,34.60%,37.20%,35.10%,35.10%
2.5<GPA<3.0,24.70%,20.50%,24.20%,22.20%,21.20%,21.10%,24.10%
2.0<GPA<2.5,10.00%,9.60%,7.10%,9.20%,9.40%,12.00%,7.30%
GPA<2.0,1.20%,1.50%,2.10%,1.40%,1.30%,0.90%,1.30%
Engineering GPA,3,3,3.04,3.07,3.09,3.14,3.19
GPA>3.5,18.70%,18.80%,20.70%,21.50%,23.50%,26.20%,31.00%
3.0<GPA<3.5,32.50%,32.40%,33.50%,34.60%,34.60%,35.40%,35.30%
2.5<GPA<3.0,31.70%,32.20%,31.10%,30.90%,29.20%,27.50%,25.30%
2.0<GPA<2.5,14.90%,14.50%,12.90%,11.90%,11.80%,10.20%,7.70%
GPA<2.0,2.20%,2.00%,1.70%,1.10%,0.90%,0.70%,0.70%
Science/Math GPA,2.91,3.01,3.01,3.02,3.05,3.08,3.15
GPA>3.5,15.90%,18.70%,18.80%,21.00%,22.10%,24.00%,29.00%
3.0<GPA<3.5,31.30%,34.70%,33.40%,31.90%,32.70%,32.90%,34.50%
2.5<GPA<3.0,31.80%,29.40%,30.10%,30.00%,30.60%,31.10%,27.00%
2.0<GPA<2.5,15.70%,14.70%,14.90%,15.60%,13.10%,10.20%,8.40%
GPA<2.0,5.30%,2.40%,2.80%,1.50%,1.50%,1.80%,1.10%
Biology GPA,3.06,3.07,3.11,3.13,3.14,3.14,3.17
GPA>3.5,20.50%,20.50%,24.60%,26.60%,26.70%,25.30%,28.50%
3.0<GPA<3.5,35.50%,36.00%,34.80%,34.40%,34.50%,37.20%,36.20%
2.5<GPA<3,30.90%,31.30%,29.10%,27.50%,28.10%,27.10%,25.60%
2.0<GPA<2.5,11.00%,10.50%,10.40%,10.40%,9.50%,9.70%,8.90%
GPA<2.0,2.10%,1.60%,1.20%,1.10%,1.30%,0.70%,0.80%
Social Science GPA,3.02,3.03,3.03,3.03,3.05,3.07,3.1
GPA>3.5,17.60%,19.90%,19.90%,19.60%,21.00%,22.60%,25.20%
3.0<GPA<3.5,38.30%,35.90%,35.30%,33.80%,35.20%,35.70%,34.40%
2.5<GPA<3.0,28.90%,27.60%,28.20%,30.30%,28.90%,27.30%,26.90%
2.0<GPA<2.5,12.70%,14.00%,14.00%,14.30%,13.10%,12.30%,12.10%
GPA<2.0,2.50%,2.60%,2.50%,2.00%,1.80%,2.10%,1.40%
Undergraduate GPA,3.02,3.04,3.05,3.06,3.09,3.11,3.16
